geo,TIME_PERIOD,Deuda,Desempleo,Educación Universitaria,Prisioneros Setenciados,Riesgo de Pobreza,Protección Social,Privación de Recursos,Inmigración,Robos,Robos con violencia,Homicidios,Intento de Homicidio,Violencia Sexual,Corrupción
MT,2019,7.8,25.1,27.0,103.13,13.3,4114.15,8.9,28341.0,1343.51,35.25,0.81,1.01,24.11,0.81
MT,2020,7.0,25.4,28.1,117.38,10.0,5090.18,5.9,13885.0,889.69,24.88,1.17,0.78,17.3,3.11
MT,2021,7.8,27.4,29.3,81.38,13.1,5293.21,11.8,18148.0,867.66,19.57,0.39,1.55,26.74,5.04
NO,2017,5.3,34.8,36.8,59.32,5.2,18635.05,11.5,53351.0,1791.05,14.85,0.53,0.93,107.16,1.56
NO,2018,5.3,32.1,37.5,54.63,5.3,18612.11,11.7,47864.0,1743.33,14.88,0.47,1.32,109.45,0.68
NO,2019,5.8,29.0,37.7,50.92,8.5,18835.25,12.5,48680.0,1774.4,16.53,0.53,1.28,95.06,0.88
NO,2020,6.0,24.7,38.8,50.28,5.8,18431.07,10.7,36287.0,1611.88,17.85,0.58,1.62,94.27,0.75
NO,2021,6.7,23.4,40.6,53.12,7.6,20399.2,11.1,53947.0,1467.77,14.21,0.54,1.54,107.12,0.57
PL,2016,11.0,35.0,25.2,174.18,9.7,2359.64,4.1,208302.0,332.9,25.37,0.67,0.45,8.31,18.68
PL,2017,10.3,31.1,26.3,175.34,9.1,2491.94,19.7,209353.0,281.58,21.37,0.73,0.58,8.48,19.53
PL,2018,7.7,26.8,27.2,170.75,10.5,2584.41,6.7,214083.0,260.25,17.91,0.7,0.61,8.76,26.43
PL,2019,7.4,21.6,28.2,173.82,8.6,2972.24,7.5,226649.0,270.15,17.05,0.54,0.77,9.38,16.44
PL,2020,5.5,20.0,28.9,156.98,7.9,3283.51,10.7,210615.0,259.55,13.93,0.69,0.87,7.74,19.77
PL,2021,7.0,26.6,29.1,168.33,9.0,3491.89,1.9,241116.0,287.32,12.88,0.7,0.83,8.49,16.14
SE,2016,5.4,28.4,35.3,42.94,6.1,13813.04,8.0,163005.0,3810.73,86.91,1.08,8.92,179.48,213.55
SE,2017,5.1,28.7,36.0,41.5,7.1,13708.27,7.6,144489.0,3602.88,86.53,1.13,9.09,188.83,211.05
SE,2018,4.7,26.6,37.1,43.41,5.7,13100.8,9.0,132602.0,3303.14,85.43,1.07,8.58,190.43,207.81
SE,2019,4.8,21.2,37.8,47.25,7.4,12881.65,12.7,115805.0,3216.5,88.32,1.09,9.61,195.11,201.53
SE,2020,4.9,21.5,38.3,51.09,5.5,13632.9,12.6,82518.0,3011.72,85.32,1.2,10.51,204.73,191.63
SE,2021,5.2,22.2,39.7,54.79,8.7,14451.86,10.7,90631.0,2784.26,70.34,1.09,9.57,217.72,205.03
SI,2016,17.4,53.3,27.2,56.83,8.5,4551.12,20.9,16623.0,1036.44,10.95,0.48,1.26,17.25,56.15
SI,2018,13.6,42.8,28.7,50.51,7.7,4910.89,16.6,28455.0,898.94,15.58,0.44,1.79,17.51,10.31
SI,2019,12.2,42.9,29.3,51.13,7.4,5172.4,11.1,31319.0,862.41,15.09,0.67,0.82,22.54,10.52
SI,2020,10.3,37.9,31.5,50.0,7.0,5865.45,10.8,36110.0,770.47,12.17,0.52,1.62,17.99,14.89
SI,2021,9.0,39.1,35.4,36.04,6.8,6229.11,9.6,23624.0,634.76,10.53,0.43,1.04,21.2,11.38
